Geneid	HISAT2 on data 4 and data 3: aligned reads (BAM)
MAN1A2	5708
FAM46C	130
GDAP2	2765
WDR3	5274
SPAG17	92
TBX15	120
WARS2	778
HAO2	0
HSD3B2	0
HSD3B1	0
HSD3BP4	68
LOC644242	200
ZNF697	5864
PHGDH	3358
HMGCS2	0
REG4	0
NBPF7	0
ADAM30	0
NOTCH2	16439
FAM72B	198
HIST2H2BA	162
FCGR1B	27
EMBP1	103
LOC375010	4
LOC100130000	6
FLJ39739	18
LOC100286793	64
PPIAL4G	2
FAM72D	122
SRGAP2P2	2332
LOC728855	17
LOC728875	23
PPIAL4C	0
PPIAL4B	0
PPIAL4A	0
PFN1P2	357
NBPF9	2887
LOC653513	576
PDE4DIP	45504
SEC22B	4177
NOTCH2NL	1092
NBPF10	2014
HFE2	2
TXNIP	11423
POLR3GL	1677
ANKRD34A	1157
LIX1L	2515
RBM8A	7563
GNRHR2	485
PEX11B	2923
ITGA10	401
ANKRD35	463
PIAS3	3442
NUDT17	539
POLR3C	2536
RNF115	2350
CD160	320
PDZK1	103
GPR89A	557
GPR89C	9
PDZK1P1	4
NBPF11	0
NBPF24	24
LOC728989	288
PRKAB2	13469
PDIA3P	1131
FMO5	202
CHD1L	2236
LOC100289211	0
BCL9	18279
ACP6	417
GJA5	223
GJA8	0
GPR89B	180
NBPF14	3998
PPIAL4F	0
PPIAL4D	0
NBPF15	549
NBPF16	359
PPIAL4E	0
LOC645166	520
LOC388692	452
FCGR1C	12
HIST2H2BF	437
FAM91A2	37
FCGR1A	39
HIST2H3D	16
HIST2H4A	0
HIST2H4B	0
HIST2H3A	0
HIST2H3C	0
HIST2H2AA4	0
HIST2H2AA3	0
HIST2H2BC	68
HIST2H2BE	4437
HIST2H2AC	22
HIST2H2AB	3
BOLA1	463
SV2A	24583
SF3B4	4759
MTMR11	948
OTUD7B	2183
VPS45	6187
PLEKHO1	7308
ANP32E	6186
CA14	339
APH1A	9076
C1orf54	233
C1orf51	314
MRPS21	4325
PRPF3	7040
RPRD2	12922
TARS2	2329
ECM1	655
ADAMTSL4	213
MIR4257	4
MCL1	23338
ENSA	14730
GOLPH3L	1435
HORMAD1	3
CTSS	200
CTSK	805
ARNT	5380
SETDB1	8697
CERS2	5152
ANXA9	999
FAM63A	3020
PRUNE	3379
